subtype,readable_subtype
NO_SUBTYPE,
POLICE_VISIBLE,Police visible
POLICE_HIDING,Police hiding
ACCIDENT_MINOR,Minor accident
ACCIDENT_MAJOR,Major accident
JAM_MODERATE_TRAFFIC,Moderate traffic jam
JAM_HEAVY_TRAFFIC,Heavy traffic jam
JAM_STAND_STILL_TRAFFIC,Stand-still traffic jam
JAM_LIGHT_TRAFFIC,Light traffic jam
HAZARD_ON_ROAD,Hazard on road
HAZARD_ON_SHOULDER,Hazard on shoulder
HAZARD_WEATHER,Weather hazard
HAZARD_ON_ROAD_OBJECT,Object on road
HAZARD_ON_ROAD_POT_HOLE,Pot hole
HAZARD_ON_ROAD_ROAD_KILL,Road kill
HAZARD_ON_SHOULDER_CAR_STOPPED,Car stopped on shoulder
HAZARD_ON_SHOULDER_ANIMALS,Animals on shoulder
HAZARD_ON_SHOULDER_MISSING_SIGN,Missing sign
HAZARD_WEATHER_FOG,Fog
HAZARD_WEATHER_HAIL,Hail
HAZARD_WEATHER_HEAVY_RAIN,Heavy rain
HAZARD_WEATHER_HEAVY_SNOW,Heavy snow
HAZARD_WEATHER_FLOOD,Flood
HAZARD_WEATHER_MONSOON,Monsoon
HAZARD_WEATHER_TORNADO,Tornado
HAZARD_WEATHER_HEAT_WAVE,Heat wave
HAZARD_WEATHER_HURRICANE,Hurricane
HAZARD_WEATHER_FREEZING_RAIN,Freezing rain
HAZARD_ON_ROAD_LANE_CLOSED,Lane closed
HAZARD_ON_ROAD_OIL,Oil on road
HAZARD_ON_ROAD_ICE,Ice on road
HAZARD_ON_ROAD_CONSTRUCTION,Road construction
ROAD_CLOSED_EVENT,Road closed